hyrdraulic residence times	pH probe (pH)
0.29675126	6.876730442
0.297928048	6.839007378
0.299104836	6.828695774
0.300282723	6.869761467
0.301459999	6.857671738
0.302639137	6.924686909
0.303817167	6.789946556
0.30499426	6.831582546
0.306171241	6.861488342
0.307348029	6.85432291
0.308527665	6.839213848
0.309704453	6.781826496
0.310883642	6.866073608
0.31205808	6.868525982
0.313237218	6.844103336
0.314414006	6.776819229
0.315593134	6.832914829
0.316769953	6.86792326
0.317948501	6.816831589
0.319125339	6.835858822
0.320302127	6.729072094
0.321478915	6.80691433
0.322658053	6.838741303
0.32383476	6.867884159
0.325011629	6.739874363
0.326190767	6.767752171
0.327367555	6.798134327
0.328546724	6.801346302
0.329722922	6.739194393
0.33089971	6.783931732
0.332077078	6.745128155
0.333256216	6.807751656
0.334433146	6.783994198
0.335611786	6.724244595
0.336788574	6.751110554
0.337965361	6.845010757
0.3391445	6.902050018
0.340321288	6.770458698
0.340323638	6.76954031
0.342677509	6.725249291
0.343853167	6.81441927
0.345032305	6.774045467
0.346211535	6.79568243
0.347387682	6.716538429
0.34856447	6.731753349
0.349741787	6.783431053
0.350920925	6.820538521
0.352097744	6.757424831
0.353274969	6.68083477
0.354451757	6.842905045
0.355628545	6.8428545
0.356807673	6.658940315
0.357985142	6.625362873
0.357987503	6.624741554
0.360340132	6.676909447
0.36151927	6.646162033
0.362694054	6.619750023
0.363873213	6.607848644
0.365049716	6.6469841
0.366228854	6.789805412
0.367405642	6.98110199
0.368582419	6.61931181
0.369761558	6.673706532
0.370937877	6.740715981
0.372114665	6.66188097
0.373293804	6.67117691
0.374471761	6.608942986
0.375649394	6.70437336
0.376826884	6.649464607
0.378003	6.673969269
0.379182138	6.633009911
0.380358926	6.608891964
0.381538176	6.666398525
0.381540527	6.666572094
0.383892739	6.498495102
0.385068347	6.668352127
0.386247505	6.640947342
0.387426623	6.73022747
0.388601661	6.679853916
0.389778449	6.707936287
0.390958086	6.625998497
0.392134863	6.659392357
0.393311672	6.748332501
0.39448905	6.668382645
0.395666265	6.60280323
0.396845403	6.604899883
0.398022191	6.653377056
0.39920139	6.644452572
0.400377354	6.619600773
0.40155461	6.725264072
0.402733738	6.687544346
0.403910526	6.629396915
0.405089959	6.558037758
0.406265699	6.595038891
0.407442487	6.596364021
0.408621615	6.641480923
0.409799023	6.626233101
0.410975811	6.583790302
0.412153138	6.583667278
0.413329926	6.553461552
0.414509064	6.60422945
0.415687053	6.593085766
0.416863851	6.568361759
0.418041433	6.501199722
0.419218393	6.575117588
0.420397532	6.588531494
0.421574319	6.510884285
0.4227536	6.492582798
0.423929299	6.590633869
0.425106392	6.560699463
0.42628374	6.631340504
0.427462868	6.535443306
0.428639676	6.513109684
0.429818204	6.559060574
0.430995033	6.624204636
0.432174171	6.535171032
0.433350959	6.514834881
0.434527767	6.598092079
0.434530127	6.598279476
0.436883723	6.568058491
0.438060511	6.559602737
0.439237299	6.546234608
0.440416437	6.598195553
0.441592096	6.593250752
0.442771336	6.542313099
0.443948124	6.498392105
0.445124535	6.603187561
0.446303714	6.577754498
0.447480034	6.561083317
0.448659345	6.447755814
0.449836133	6.576498032
0.451014091	6.608255386
0.452193249	6.53268671
0.452195712	6.534249306
0.452195712	6.534249306
0.455724193	6.543823719
0.456902161	6.524480343
0.458079173	6.487424851
0.459255534	6.466192246
0.460434672	6.496444225
0.46161146	6.507864952
0.462788248	6.503076553
0.463967487	6.436291218
0.465143502	6.5041008
0.46632264	6.496479988
0.467499428	6.434360981
0.468676206	6.417442322
0.469855425	6.483517647
0.469857776	6.481473923
0.472209693	6.477492333
0.473386481	6.443842411
0.474565996	6.471460342
0.475745297	6.509300232
0.475745297	6.509300232
0.478098313	6.471476078
0.479275162	6.467596531
0.48045312	6.493254662
0.481629999	6.557967663
0.482808222	6.362763882
0.48398501	6.433490753
0.485164148	6.467278004
0.486341037	6.489584923
0.487517825	6.438528061
0.488695264	6.392624378
0.489874759	6.365675449
0.491051547	6.471504688
0.492228334	6.411684513
0.493407493	6.427273274
0.493409843	6.427955627
0.495760713	6.427630425
0.496939851	6.329342842
0.498116639	6.343183041
0.499295807	6.409197331
0.500471965	6.361468315
0.501649933	6.315786839
0.50282671	6.314702511
0.504003498	6.354040146
0.505183074	6.427663803
0.506359821	6.33684969
0.50753669	6.421443462
0.508715859	6.345680237
0.509892617	6.350380421
0.511071785	6.40275383
0.512248003	6.367920876
0.513425208	6.319134712
0.514601996	6.333517075
0.515781135	6.350324154
0.516960273	6.336624622
0.518135718	6.330061913
0.519312719	6.365507126
0.520489507	6.314732075
0.521668635	6.30593729
0.522847946	6.348279953
0.522850429	6.347940445
0.525202987	6.38367939
0.526377425	6.338633537
0.527556563	6.42265749
0.528735742	6.341922283
0.529911421	6.405988693
0.531088209	6.382421017
0.532267347	6.370310307
0.533444135	6.30624485
0.534620953	6.393500805
0.535799593	6.387264729
0.536976381	6.374269486
0.53815324	6.288612366
0.539332378	6.292798996
0.540509186	6.365186214
0.541687531	6.358131409
0.542864787	6.379676819
0.544041575	6.304610252
0.545220713	6.383457184
0.546397521	6.370791435
0.546399861	6.370893955
0.548751992	6.348739624
0.549929187	6.381565571
0.551108325	6.322357178
0.552287474	6.308577538
0.552287474	6.308577538
0.554639767	6.249813557
0.555819007	6.197520733
0.556995795	6.199446201
0.558172644	6.19060564
0.559349666	6.301126957
0.560528794	6.202792168
0.561705582	6.238939285
0.56288237	6.25533247
0.564061539	6.296824932
0.565238876	6.257504463
0.566416844	6.227756977
0.567593632	6.235310078
0.568770867	6.284106255
0.569948083	6.245185375
0.569950433	6.245229721
0.572304243	6.266867161
0.57348102	6.320162773
0.574658989	6.384188652
0.575835787	6.325755119
0.575838127	6.31013298
0.578192405	6.306936741
0.579369193	6.389535904
0.580548321	6.316061974
0.581725261	6.344843388
0.581727611	6.344617367
0.584079651	6.310747623
0.585256439	6.271596909
0.586435668	6.321888447
0.587612609	6.311989307
0.588791228	6.306630611
0.589968006	6.240829468
0.591144794	6.320234299
0.592324034	6.312810421
0.593500852	6.213157177
0.593503202	6.213926315
0.593503202	6.213926315
0.597033017	6.195115566
0.598209805	6.202112675
0.599389686	6.212898731
0.599392056	6.210545063
0.601744757	6.207250595
0.602921545	6.218707562
0.604098333	6.193044186
0.605277471	6.14541626
0.605279821	6.144489765
0.605279821	6.144489765
0.60880991	6.196396828
0.609986698	6.158370495
0.611165857	6.243084908
0.612343001	6.174164295
0.613519789	6.135537624
0.614696576	6.13557148
0.615875715	6.120326519
0.617052533	6.134088039
0.617054883	6.13477993
0.619406496	6.104901791
0.620585634	6.121482849
0.621762422	6.133541107
0.62293922	6.11116457
0.624118877	6.089485169
0.625295665	6.110653877
0.626472453	6.11409092
0.62764923	6.06761694
0.628828399	6.131547928
0.6300077	5.973169804
0.631183318	6.134296894
0.632361276	6.064375877
0.633538064	6.086443901
0.634715869	6.096345425
0.635892962	6.085653782
0.6370721	6.064552784
0.638248888	6.04907465
0.639425747	6.056695938
0.640602586	6.062448978
0.641780992	6.080646515
0.64295895	6.040448666
0.644137009	6.029172421
0.645314815	6.072169781
0.646492712	6.039353848
0.647669042	6.035433292
0.64884586	6.012510777
0.650023594	6.087629318
0.651202732	6.05828476
0.652379103	6.052997112
0.652381423	6.052108765
0.654733798	6.032120705
0.655912936	6.067374229
0.657089297	6.028137207
0.658267295	6.044512272
0.659444684	6.028289795
0.660621472	6.078380108
0.661800935	6.010103703
0.662977042	6.005681992
0.664155854	6.034822464
0.664158204	6.03383112
0.666510091	6.002944946
0.6676869	6.023029327
0.668866017	6.05450201
0.670042805	6.01365757
0.670045155	6.013391018
0.672397388	6.039388657
0.673576526	5.969972134
0.674753996	6.015561581
0.675930784	5.985682011
0.677108315	6.013714314
0.678285102	5.994035721
0.679464241	5.971606255
0.680641029	5.927178383
0.68181801	6.003678322
0.682996955	5.973948479
0.684173743	6.00850153
0.68535053	5.975507736
0.686529669	5.95857811
0.687707393	5.959687233
0.688885045	5.989145756
0.690061833	5.946408749
0.691238621	5.980087757
0.692417759	5.953397274
0.693594568	5.946547031
0.69477336	5.929796696
0.695950148	5.953855038
0.697126936	5.917125225
0.698306114	5.955092907
0.699481946	5.961684704
0.699484296	5.962016583
0.701838849	5.94691658
0.703015637	5.963359833
0.704192425	5.926941395
0.705372478	6.025195599
0.70654887	6.60007143
0.707726176	6.734807015
0.708902964	5.941123009
0.710079752	5.94111824
0.71125889	5.9368577
0.711261241	5.936450481
0.713613595	5.922972202
0.714790404	5.888492584
0.715967599	5.899465561
0.717146757	5.917655468
0.717149118	5.918744087
0.719501767	5.891172886
0.720678555	5.905525208
0.721856513	5.848662853
0.723033301	5.86824894
0.723035651	5.868509293
0.725389044	5.870753288
0.726566259	5.872089386
0.727745398	5.828626633
0.728922185	5.825496197
0.730099065	5.857313633
0.731278193	5.826482296
0.732455174	5.833193779
0.733631962	5.824956417
0.734809859	5.858156204
0.735988356	5.850943565
0.737167494	5.8515625
0.738341932	5.824370384
0.73951989	5.810815811
0.740699079	5.846111774
0.741875094	5.796660423
0.743051993	5.811843395
0.744231132	5.84496975
0.745407919	5.840957642
0.746584789	5.821887493
0.7477641	5.792805672
0.748943238	5.788395405
0.750117676	5.804219246
0.751297007	5.81768322
0.752474548	5.808964253
0.752476888	5.80771637
0.754829365	5.845108509
0.756006489	5.815158367
0.757183277	5.810862541
0.758362435	5.806408882
0.759538928	5.845160484
0.760715685	5.783106804
0.761894824	5.800409794
0.763071611	5.807116985
0.764248399	5.861742497
0.765429328	5.720071793
0.766604946	5.811191082
0.767781724	5.791172028
0.768960862	5.813747406
0.770137986	5.787559986
0.771314224	5.78013134
0.772493403	5.805042267
0.773670191	5.818620205
0.774848159	5.846853256
0.776025059	5.812788963
0.776027409	5.813726902
0.77838131	5.788188458
0.779558098	5.784281731
0.780736056	5.793131828
0.781912854	5.790090561
0.783091138	5.710336208
0.784267936	5.776763439
0.785447054	5.775673866
0.786623842	5.75518322
0.787800508	5.707001686
0.788977794	5.752543926
0.790156932	5.733447075
0.791336091	5.762356281
0.792511709	5.750585079
0.793688507	5.750823975
0.794866963	5.761780262
0.796043751	5.78857851
0.797220539	5.753957272
0.798398497	5.740748882
0.799577859	5.707328796
0.799580209	5.706451893
0.801931404	5.731177807
0.803110542	5.71067667
0.804287707	5.705379486
0.805464505	5.746078491
0.806641293	5.741987705
0.807820431	5.712860584
0.808997219	5.715991974
0.810174027	5.705155373
0.811353145	5.707634449
0.811355576	5.707658291
0.81370844	5.699023724
0.814885228	5.686168194
0.816062016	5.698981285
0.817241297	5.710850716
0.818418461	5.700343609
0.819596419	5.65768671
0.820773207	5.672421455
0.821951857	5.684754849
0.823128838	5.711663723
0.82430703	5.652228832
0.825483919	5.651933193
0.826660707	5.744253159
0.827841015	5.756915569
0.829015484	5.705090046
0.830193014	5.708282948
0.831372152	5.627344608
0.83254894	5.690096855
0.833726898	5.67083025
0.834903686	5.648149967
0.836081563	5.654241085
0.837258432	5.702978134
0.83843757	5.798518658
0.839614358	5.664749622
0.840791177	5.631278992
0.840793527	5.631670475
0.843147805	5.658476353
0.844324593	5.666642666
0.84550255	5.642177105
0.846681719	5.670949459
0.846684069	5.670698166
0.849035448	5.656188965
0.850212236	5.606340408
0.851391394	5.634654522
0.852568182	5.629459858
0.852570542	5.630053043
0.85492247	5.597537518
0.856101608	5.610429764
0.857277216	5.571944237
0.858456374	5.624559403
0.859633111	5.586204529
0.860809899	5.595710278
0.861989037	5.606922627
0.863165825	5.585818768
0.864342613	5.616014481
0.865520754	5.575009823
0.866699892	5.553409576
0.86787668	5.557123661
0.869053468	5.614455223
0.870232627	5.584583759
0.87141147	5.58569622
0.872585908	5.557578564
0.873765046	5.59586525
0.874941834	5.583752155
0.876118805	5.552253723
0.877299357	5.54762125
0.878474385	5.523970127
0.879651203	5.543177605
0.880830311	5.570810318
0.882007129	5.548809528
0.883184385	5.499496937
0.884361458	5.543543339
0.885540596	5.576776028
0.886718483	5.561326981
0.887895322	5.53938818
0.887897672	5.539280891
0.890250291	5.546873093
0.891427181	5.717637539
0.892604579	5.522563934
0.893783748	5.501342297
0.894960241	5.503224373
0.896137578	5.530109882
0.897316716	5.504441738
0.898492324	5.529012203
0.899671472	5.555805683
0.90084883	5.566122055
0.902026788	5.484362125
0.903205947	5.557887077
0.904380384	5.529492855
0.905559553	5.464143753
0.906736799	5.477113724
0.907913637	5.492607117
0.909092776	5.451089382
0.910269564	5.467166901
0.911446392	5.458080769
0.912623322	5.508171082
0.913801789	5.446297169
0.914978577	5.434795857
0.916157715	5.417928219
0.917334534	5.444177151
0.918513275	5.452721119
0.919690063	5.410526753
0.920866851	5.391686916
0.922045989	5.420209408
0.923222807	5.433073044
0.924399341	5.385964871
0.925578479	5.398735523
0.926757607	5.464020729
0.927932055	5.430487633
0.929109809	5.389082909
0.930287035	5.387653828
0.931466173	5.360458851
0.932642951	5.403101444
0.933819739	5.397357464
0.934998409	5.392985821
0.936177822	5.53375721
0.93735461	5.380339146
0.938531397	5.384913921
0.939708185	5.395341873
0.940887323	5.375052452
0.942065719	5.401756764
0.943241327	5.402182579
0.944418542	5.43059969
0.94559768	5.40114212
0.946774498	5.437957764
0.946776849	5.438229561
0.946776849	5.438229561
0.950306978	5.35540247
0.951484234	5.399531364
0.952661022	5.359141827
0.95383897	5.343269825
0.955016134	5.357039452
0.956195273	5.360029221
0.95737206	5.345901489
0.958548899	5.347476482
0.95972821	5.358735085
0.960904998	5.36890316
0.962081786	5.330999374
0.963260924	5.344347477
0.964437712	5.325873852
0.965617268	5.346287251
0.966794055	5.310011387
0.967970843	5.315227985
0.969147987	5.328339577
0.970324806	5.343241692
0.971503751	5.304880619
0.972681037	5.27655983
0.973857825	5.256009579
0.975036963	5.316468239
0.976213761	5.283680916
0.976216112	5.283778191
0.978569199	5.253503799
0.979745987	5.300513744
0.980925125	5.265408993
0.982101954	5.243238449
0.982104426	5.243319511
0.98445732	5.260788441
0.985634108	5.252765179
0.986810896	5.214342117
0.987990054	5.245662689
0.98916612	5.228000164
0.990345258	5.247150421
0.991522158	5.194894314
0.992698946	5.234698772
0.99387842	5.194325447
0.99388077	5.194567204
0.996233685	5.183533192
0.997410472	5.196053028
0.99858726	5.203065872
0.999764313	5.214399338
1.000943726	5.1496768
1.002120514	5.190805435
1.003297301	5.147922993
1.004474445	5.170344353
1.005653594	5.108067989
1.006830626	5.175361157
1.008007414	5.13193655
1.009186837	5.117883205
1.010363625	5.111441135
1.011540413	5.142216206
1.012720558	5.140474796
1.01389526	5.123862743
1.015074612	5.142895222
1.0162514	5.104438782
1.017430538	5.120005608
1.018607245	5.07861948
1.019786424	5.063940048
1.020960861	5.050237656
1.022138819	5.073935509
1.023317957	5.09573698
1.023320308	5.094860554
1.025671472	5.061351299
1.0268506	5.086699963
1.028027388	5.059011936
1.02920556	5.070735455
1.02920794	5.071332932
1.02920794	5.071332932
1.032738538	5.073207855
1.033915438	5.030763149
1.035094952	5.013578892
1.036269329	5.032186031
1.037448467	5.025615692
1.038625255	5.02955246
1.039802043	5.016590595
1.040981181	5.001040936
1.042158335	5.016707897
1.043336293	5.030117989
1.04451361	4.989612579
1.045690398	4.958625794
1.046869536	4.965444565
1.046871887	4.964766502
1.049223102	4.997833252
1.050400378	4.956019878
1.051579516	4.971862793
1.052756335	4.968348503
1.053935412	4.940372467
1.055112566	4.928129673
1.056289354	4.975720882
1.057466142	4.912686825
1.05864528	4.885212421
1.059822587	4.850775719
1.060999375	4.842233658
1.062176163	4.859238148
1.063355291	5.557706833
1.064532587	4.787891388
1.065710352	4.80235672
1.06688714	4.79348135
1.068063928	4.814218044
1.06924213	4.764554501
1.070419182	4.776790142
1.070421533	4.77690506
1.072774091	4.767704487
1.073953229	4.71999073
1.07513074	4.743648529
1.076307507	4.703490734
1.077486228	4.70663929
1.078665366	4.65427208
1.079839804	4.676437378
1.081018942	4.65205574
1.082198101	4.644573689
1.083372823	4.67959404
1.084551961	4.642989636
1.085728749	4.603467464
1.086905527	4.605548382
1.088084716	4.5559659
1.089260924	4.574202538
1.090437712	4.537714005
1.09161685	4.543541431
1.092793638	4.529443741
1.093970426	4.473722935
1.095149666	4.481631756
1.096327624	4.477640629
1.097504412	4.485823631
1.098681199	4.48279047
1.099860979	4.455007553
1.101037278	4.455442429
1.102214066	4.438653469
1.103393194	4.412475586
1.104569982	4.387054443
1.10574678	4.37793684
1.106923761	4.353734493
1.108102899	4.354092121
1.109279687	4.388223171
1.110458815	4.34463501
1.111635156	4.323628426
1.112813246	4.304242611
1.113990024	4.305069923
1.115166811	4.280347347
1.11634713	4.268131733
1.117523938	4.191366673
1.118701642	4.212776661
1.11987843	4.236172199
1.121055217	4.222784042
1.122234356	4.194171429
1.123411439	4.216364384
1.124587789	4.209545612
1.125766927	4.176723003
1.126943715	4.126408577
1.128122365	4.139051437
1.129299183	4.152915955
1.130476317	4.118038654
1.131653105	4.093328953
1.132832243	4.108324051
1.134009031	4.105619907
1.135188627	4.077562809
1.135190977	4.077536106
1.137542213	4.070859909
1.138718991	4.037112713
1.139898129	4.080887795
1.141074947	4.044270992
1.141077298	4.044857025
1.143428971	4.018641949
1.144608109	4.02441597
1.145784897	4.012454987
1.146962906	3.945708752
1.146963944	3.945695877
1.149317499	3.959489346
1.150494287	3.999107838
1.151673425	3.940416813
1.152850539	3.932350397
1.154027611	3.897349596
1.15520675	3.936188936
1.156383537	3.877739668
1.157561495	3.878448248
1.158738304	3.863503456
1.159916801	3.897363663
1.161093579	3.838816404
1.162270366	3.860417843
1.163448335	3.840680599
1.164625336	3.881779194
1.165804291	3.897287846
1.166981079	3.883671045
1.168157867	3.820392132
1.169335825	3.861096859
1.170515024	3.856950522
1.170517374	3.858396292
1.172868274	3.808199883
1.174047413	3.820330381
1.1752242	3.838331223
1.176400988	3.794636726
1.177578712	3.822276354
1.17875785	3.814203262
1.179934638	3.806467533
1.181111426	3.793062925
1.182290585	3.776977778
1.182292935	3.777268887
1.18464589	3.791860342
1.185822749	3.766370058
1.186999537	3.777519941
1.188178686	3.69153142
1.189356206	3.806955099
1.190534164	3.761166573
1.191710952	3.760284424
1.19288774	3.731035233
1.19406465	3.726251602
1.195242628	3.734111071
1.196421766	3.760443687
1.197598554	3.743574381
1.198775342	3.74605751
1.199952751	3.710782528
1.201130821	3.723387003
1.202309959	3.679680109
1.203487174	3.750717878
1.204663962	3.719019413
1.20584074	3.741644144
1.20584309	3.741798639
1.208196228	3.699497938
1.209375387	3.678913832
1.210552154	3.724326611
1.211729522	3.710687161
1.212906585	3.69701314
1.214083474	3.66016531
1.215262612	3.690032482
1.2164394	3.700069189
